jaspar_matrix	jaspar_id	uniprot_id	gene_name
MA1117.1	RELB	Q01201	RELB
MA1118.1	SIX1	Q15475	SIX1
MA1119.1	SIX2	Q9NPC8	SIX2
MA1120.1	SOX13	Q9UN79	SOX13
MA1121.1	TEAD2	Q15562	TEAD2
MA1122.1	TFDP1	Q14186	TFDP1
MA1123.2	TWIST1	Q15672	TWIST1
MA1124.1	ZNF24	P17028	ZNF24
MA1125.1	ZNF384	Q8TF68	ZNF384
MA1126.1	FOS::JUN(var.2)	P01100	FOS
MA1126.1	FOS::JUN(var.2)	P05412	JUN
MA1127.1	FOSB::JUN	P53539	FOSB
MA1127.1	FOSB::JUN	P05412	JUN
MA1128.1	FOSL1::JUN	P15407	FOSL1
MA1128.1	FOSL1::JUN	P05412	JUN
MA1129.1	FOSL1::JUN(var.2)	P15407	FOSL1
MA1129.1	FOSL1::JUN(var.2)	P05412	JUN
MA1130.1	FOSL2::JUN	P15408	FOSL2
MA1130.1	FOSL2::JUN	P05412	JUN
MA1131.1	FOSL2::JUN(var.2)	P15408	FOSL2
MA1131.1	FOSL2::JUN(var.2)	P05412	JUN
MA1132.1	JUN::JUNB	P05412	JUN
MA1132.1	JUN::JUNB	P17275	JUNB
MA1133.1	JUN::JUNB(var.2)	P05412	JUN
MA1133.1	JUN::JUNB(var.2)	P17275	JUNB
